id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8792738,Spacious Two Bedroom Suite near Harvard University,46078639,George,,Agassiz,42.38167,-71.11721,Private room,87,5,16,2022-11-12,0.23,1,28,11,Cambridge 152602
8866753,Lovely room: walk to  Harvard Square with parking,33317063,Hilary,,Riverside,42.36803,-71.1093,Private room,85,2,227,2020-03-15,2.59,1,0,0,C0184380491
8988749,Private bedroom/office in Cambridge,44173387,Jonah,,Cambridgeport,42.35844,-71.1092,Private room,110,91,9,2019-11-10,0.11,1,365,0,
9109000,Comfy Bedroom in Cambridge,47476115,Maxine,,East Cambridge,42.37008,-71.0883,Private room,90,91,0,,,1,365,0,
9300963,"Cambridge Summer! Harvard, Porter, Davis Squares",21103602,Mary Ann,,North Cambridge,42.39478,-71.12946,Entire home/apt,207,7,54,2022-01-22,0.63,1,82,3,STR-11943
9371115,ENJOY CAMBRIDGE THIS SUMMER AND BEYOND. SLEEPS 8+,42617851,Shahzad,,Agassiz,42.3783,-71.11025,Entire home/apt,528,91,2,2017-05-21,0.02,1,173,0,
9729190,"A Room at the Top-sep. entr., mostly private bath",2158200,Joan,,Neighborhood Nine,42.38383,-71.12516,Private room,134,5,118,2022-12-12,1.50,1,144,14,C0095080491
9790965,Cambridge Bed and Bath,50462187,Amy,,Neighborhood Nine,42.38813,-71.127739,Private room,100,1,236,2022-12-17,2.86,1,243,50,C0118470491
9832821,"Sunny, spacious 2BR w/roof deck near Harvard and T",50639730,Barbara,,Agassiz,42.38555,-71.1177,Private room,199,3,89,2022-11-12,1.58,1,0,15,13693
9938323,One Bedroom Between Harvard & MIT (1562),51079261,Riverside,,The Port,42.36243,-71.09813,Private room,196,1,23,2019-05-23,0.28,23,0,0,10794
9940720,One Bedroom Short Walk to Harvard (RM 10),51079261,Riverside,,Mid-Cambridge,42.36855,-71.10837,Private room,120,1,13,2019-11-12,0.16,23,0,0,10863
9975650,"Spacious 1 BR, 1.5 bath. Central Sq",6357472,Layla,,Riverside,42.36665,-71.10795,Entire home/apt,123,31,94,2022-10-06,1.12,1,70,4,
10066136,Spacious Kendall Square 1BR | Kitchen+W/D| by GLS,30283594,Global Luxury Suites,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,4,2021-01-16,0.05,8,365,0,C0281180491
10066362,Clean+Furnished 1BR | Work Desk | Kendall Square,30283594,Global Luxury Suites,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,3,2017-11-17,0.04,8,365,0,C0281180491
10068003,Bright 2BR | Work Desk + WiFi | Kendall Square,30283594,Global Luxury Suites,,East Cambridge,42.363747,-71.083374,Entire home/apt,475,31,5,2017-09-30,0.07,8,365,0,C0281180491
10138304,One Bedroom Close to MIT (1172),51079261,Riverside,,The Port,42.36279,-71.09794,Private room,110,1,34,2019-04-25,0.41,23,0,0,10794
10152128,Room For Two Short Walk To Harvard (RM 11),51079261,Riverside,,Riverside,42.36716,-71.10729,Private room,120,1,24,2020-02-29,0.28,23,0,0,10863
10152514,One Subway Stop to Harvard Two Stops to MIT (A),51079261,Riverside,,North Cambridge,42.39443,-71.12586,Private room,100,1,28,2019-11-29,0.37,23,0,0,10811
